s1_id,matched_id,source,s1_name,o_name,s1_addr,o_addr,name_sim,addr_sim,combined_sim,difficulty_score,case_type,s2_id,s2_name,s2_addr,danger_score
S1-574668405,S2-28438203,S2,Modern Ventures Private Limited,मॉडर्न वेंचर्स प्राइवेट लिमिटेड,"C-80, Kalkaji. (F.F.), New Delhi, Delhi","Delhi, NEW DELHI, C-80, KALKAJI. (F.F.)",0.0968,0.125,0.1109,0.8891,hard_positive,,,,
S1-536583156,S2-770363267,S2,United Enterprises Private Limited,யுனைடெட் எண்டர்பிரைசஸ் பிரைவேட் லிமிடெட்,"Kanchipuram, Tambaram, Plot No 14 Mohi Florence, Tamil Nadu, 6Th Street Vengaivasal","#G-14 MOHI FLORENCE, 6TH STREET VENGAIVASAL, KANCHEEPURAM, TAMBARAM, Tamil Nadu",0.0833,0.1392,0.1113,0.8887,hard_positive,,,,
S1-602087272,S3-854772376,S3,Lakshmi Power Private Limited,लक्ष्मी पावर प्राइवेट लिमिटेड,"New Delhi, Delhi, H.No. J-179, South Delhi","H.no. J-179, South Delhi, New Delhi, दिल्ली",0.069,0.1579,0.1134,0.8866,hard_positive,,,,
S1-161249692,S3-653123686,S3,Omega & Sons Limited,Omega +,"House No 73, Landmark Nr Pole No 80/05/25/2/B Village Zindpur, Delhi, North West Delhi, Delhi",,0.2273,0.0,0.1136,0.8864,hard_positive,,,,
S1-481927230,S2-47424255,S2,Raviraj Club Limited,NEXVEO,"Vihar Ph-Ii, Haryana, Gurgaon, H.No-1238 G.No-12 Laxman, Sector-17","H.NO-123 G.NO-12 LAXMAN, VIHAR PH-II, SECTOR-17, GURGAON, Haryana",0.05,0.1774,0.1137,0.8863,hard_positive,,,,
S1-274951568,S3-554444634,S3,Southern My Consulting LLP,सदर्न माय कंसल्टिंग एलएलपी,"Pune, 605, Maharashtra, Budhwar Peth, Shivaji Road, Near Vasant Talkies, Pune","##605, Pune, <NULL>, MH",0.0769,0.1549,0.1159,0.8841,hard_positive,,,,
S1-181961827,S3-997389763,S3,Life Products Pvt Ltd,ಲೈಫ್ ಪ್ರೊಡಕ್ಟ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"Karnataka, Bangalore, Flat No.117, 4Th Cross, Abhaya Reddy Layout, C V Raman Nagara Post, Kag, Adaspura, Jyothi Clique, Bangalore","Jyothi Clique, Bangalore, ಕರ್ನಾಟಕ",0.1,0.1333,0.1167,0.8833,hard_positive,,,,
S1-119932043,S3-237677489,S3,Star Investment Private Limited,Rizaquo,"7 & 7/1, Grant Lane, Kolkata, Kolkata, Howrah, West Bengal","Kolkata, Howrah, West Bengal, 7 & 7/1, Grant Lane, Kolkata",0.0968,0.1373,0.117,0.883,hard_positive,,,,
S1-269425108,S3-669195557,S3,Unique Global Private Limited,यूनिक ग्लोबल प्राइवेट लिमिटेड,"B 101, Lodha Supremus Iii, Waghle Estate, Midc Next To Passport Seva Kendra, Thane, Maharashtra","B 101, Thane, महाराष्ट्र",0.069,0.1667,0.1178,0.8822,hard_positive,,,,
S1-935783633,S3-734431004,S3,Guru Healthcare Private Limited,गुरु हेल्थकेयर प्राइवेट लिमिटेड,"Delhi, New Delhi, Delhi, F/F Right Side, Rama Park, Uttam Nagar, Near Bansal Sweet, Plot No. B-141/B","Plot No. B-41/b, Delhi, New Delhi, DL",0.0645,0.1739,0.1192,0.8808,hard_positive,,,,
S1-608571166,S2-79472707,S2,Creative Engineering Pvt Ltd,M/s Creative Pvt Ltd Services,"B-Ii/58, M.C.I.E., Delhi Mathura Road, New Delhi, South Delhi, Delhi",,0.2414,0.0,0.1207,0.8793,hard_positive,,,,
S1-204879155,S2-847940382,S2,Harbor Fresh Contracting-Greensboro,Veoumbra,"MD, Greensboro, 13030 Kibler Road","13031 KIBLER ROAD, GREENSBORO, MD",0.1143,0.129,0.1217,0.8783,hard_positive,,,,
S1-569077168,S3-361590600,S3,Dynamic Marketing Private Limited,డైనమిక్ మార్కెటింగ్ ప్రైవేట్ లిమిటెడ్,"Hyderabad, P.No. 9, 10, Flat No. 301 Satyanarayana Residency, Jagruthi Colony, Kondapur, Telangana, Hyderabad, H.No. 1-114","1-114, Hyderabad, తెలంగాణ",0.0909,0.1532,0.122,0.878,hard_positive,,,,
S1-904402625,S3-425987967,S3,East Consultancy Private Limited,ईस्ट कंसल्टेंसी प्राइवेट लिमिटेड,"Haryana, Gurgaon, Fourth Floor, Time Tower, Mehrauli Gurgaon Road, 402, Gurgaon","402, Gurgaon, हरियाणा",0.0938,0.1507,0.1222,0.8778,hard_positive,,,,
S1-326374170,S2-812678059,S2,Historical Guild III,Guild III Historical,"3206 Glenn Court, Spokane Valley, WA","SPOKANE VALLEY, 3206 GLENN CT, WA",0.1,0.1471,0.1235,0.8765,hard_positive,,,,
S1-356965989,S3-80616421,S3,Shyam Foundation Private Limited,श्याम फाउंडेशन प्राइवेट लिमिटेड,"Alwar, Laxmi Nagar, Block-A, Near Pothi Kalam School, Rajasthan, 227-A","227-A, Alwar, RJ",0.0938,0.1538,0.1238,0.8762,hard_positive,,,,
S1-757468286,S3-566278707,S3,Gujarat Enterprises Private Limited,ಗುಜರಾತ್ ಎಂಟರ್‌ಪ್ರೈಸಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"No.10, 2Nd Floor, B Block, Safestorage Premises Hoodi, Hoodi Main Road, Bangalore, Karnataka","KA, Bangalore, H.no 10",0.0857,0.1628,0.1243,0.8757,hard_positive,,,,
S1-684627776,S2-306807072,S2,City Projects Pvt Ltd,ಸಿಟಿ ಪ್ರಾಜೆಕ್ಟ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"No.404, 5Th Floor, Aditya Parks Apartments, Kashinagar, Main Road, Amruthalli, Bangalore, Karnataka","NO.00404, BENGALURU, ಕರ್ನಾಟಕ",0.0968,0.1522,0.1245,0.8755,hard_positive,,,,
S1-91296062,S2-128115427,S2,Arihant Services,अरिहंत सर्विसेज,"C/O Sri Rishi Raj, Kumhrar, Bahadurpur, Sampatchak, Patna, Bihar","SAMPATCHAK, PATNA, बिहार, C/O SRI RISHI RAJ",0.0625,0.1864,0.1245,0.8755,hard_positive,,,,
S1-963822487,S2-333127658,S2,Indian Investment Private Limited,इंडियन इन्वेस्टमेंट प्राइवेट लिमिटेड,"139, Heera Nagar A, 200 Feet Bypass Ajmer Road, Jaipur, Rajasthan","63 139, JAIPUR, राजस्थान",0.0857,0.1639,0.1248,0.8752,hard_positive,,,,
S1-2343004,S3-145583998,S3,Gujarat Consultants Private Limited,গুজরাট কনসালট্যান্টস প্রাইভেট লিমিটেড,"3/2B College Street, Kolkata, Howrah, West Bengal","Howrah, WB, #3/2B College Street",0.0541,0.1957,0.1249,0.8751,hard_positive,,,,
S1-495501255,S2-772609249,S2,Modern My Management Private Limited,Modern माय मैनेजमेंट प्राइवेट लिमिटेड,"Gupta Laj Ke Bagal Me -23155 Mau Darbaja, Chhatrapur, Chhatarpur, Madhya Pradesh",,0.25,0.0,0.125,0.875,hard_positive,,,,
S1-554356121,S2-319678482,S2,Lynx,Lynx Enterprises,"1206 Serenity Springs Drive, New Albany, IN",,0.25,0.0,0.125,0.875,hard_positive,,,,
S1-875191782,S3-145161060,S3,Daix,Daix Enterprises,"1606 Carla Lane, Hempstead, NY",,0.25,0.0,0.125,0.875,hard_positive,,,,
S1-321967048,S3-357479137,S3,Sun Agro Private Limited,सन एग्रो प्राइवेट लिमिटेड,"Office No. 306-10, 3Rd Floor, Morya Grand, Plot No B 3, Cts 615, Nr Morya Estate, Nr Shalimar Morya Bldg Nr Station Andh Off Oshiwara Link Road, Mumbai, Maharashtra","Office No. 306-10., Mumbai, MH",0.0833,0.1677,0.1255,0.8745,hard_positive,,,,
S1-681463058,S3-445090674,S3,Black Jai Industries Private Limited,ब्लैक जय इंडस्ट्रीज प्राइवेट लिमिटेड,"Sec.30, Pipli, Kurukshetra, H.No.540, Haryana, Kurukshetra","H.no.540, Divreportingcircle, HR",0.0833,0.1698,0.1266,0.8734,hard_positive,,,,
S1-498044739,S2-255936471,S2,Z 5 Classic Altenergy,Veravera,"780 Rogers Road, Southold, NY","NY, SOUTHOLD, ##780 ROGERS ROAD",0.1429,0.1111,0.127,0.873,hard_positive,,,,
S1-282392182,S2-204238132,S2,"Burkhalter, Lana R., CPA",Rizairi,"14 Tafts Avenue, Winthrop, MA","WINTHROP, MA, #14 TAFTS AVENUE",0.1429,0.1111,0.127,0.873,hard_positive,,,,
S1-320867289,S2-662587037,S2,Star Innovative Infrastructure Private Limited,ಸ್ಟಾರ್ ಇನೋವೇಟಿವ್ ಇನ್‌ಫ್ರಾಸ್ಟ್ರಕ್ಚರ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"No.312, 1St Floor, 5Th B Main, 3Rd Cross Hrbr Layout, Kalyana Nagar, Bengaluru, Bangalore, Karnataka","DODDA BANASAWADI, Karnataka, NO 12",0.0638,0.1935,0.1287,0.8713,hard_positive,,,,
S1-88606872,S3-372575127,S3,Future Industries Private Limited,ഫ്യൂച്ചർ ഇൻഡസ്ട്രീസ് പ്രൈവറ്റ് ലിമിറ്റഡ്,"5/357A, Kozhikode, Kerala, Souparnika Nilayam, Mulleri Paramba, Koodathumpoyil, Makkada P.O","H.no 695 5/357A, Kozhikode, Keralam",0.0811,0.1765,0.1288,0.8712,hard_positive,,,,
S1-372903514,S3-243663647,S3,Glyphis Iris,Wexzephbelo Co,"155 The Pines, Depoe Bay, OR","OR, Depoe Bay, 155 The Pines",0.1429,0.1154,0.1291,0.8709,hard_positive,,,,
S1-866732645,S3-86885776,S3,Dynamic Sai It Private Limited,डायनामिक साई आईटी प्राइवेट लिमिटेड,"112, Indore Trade Centre 3/2, South Tukogang, Chhoti Gwaltoli, Indore, Madhya Pradesh","00112, Indore, MP",0.1212,0.1375,0.1294,0.8706,hard_positive,,,,
S1-149415101,S3-859397664,S3,My Designer Private Limited,Smt My Designer,"Flat No. C-301, Shinhgad, Plot No. 25, Sector 42A Nerul, Navi Mumbai, Thane, Maharashtra",,0.2593,0.0,0.1296,0.8704,hard_positive,,,,
S1-893846200,S2-725220118,S2,Dynamic East Products Limited,डायनामिक ईस्ट प्रोडक्ट्स लिमिटेड,"Sr. No.58/2/1, Flat No.503, E-Wing Austin County, Pune City, Pune, Maharashtra","PUNE, Maharashtra, HN ##43 SR. NO.58/2/1",0.0938,0.1667,0.1302,0.8698,hard_positive,,,,
S1-591106043,S3-314385318,S3,Shiv Consultancy Private Limited,शिव कंसल्टेंसी प्राइवेट लिमिटेड,"Maharashtra, Andheri(E), Sixth Fl, Aditya Heritage Om Nagar, Next To Jeena House, 605/606, Mumbai","605/606, Mumbai Region, Mumbai, महाराष्ट्र",0.0938,0.1667,0.1302,0.8698,hard_positive,,,,
S1-541406973,S3-495987723,S3,Sais Inc,Incorporated Sais,"19067 Brandy Fizz Court, Culpeper County, VA","Culpeper, Virginia, Brandy Fizz Ct, null",0.1176,0.1429,0.1303,0.8697,hard_positive,,,,
S1-909255743,S3-988240220,S3,East Robinhood,East Center Enterprises,"504 Back Bay Lane, Dickinson, TX",,0.2609,0.0,0.1304,0.8696,hard_positive,,,,
S1-218632221,S2-612593374,S2,Real Products,रियल प्रोडक्ट्स,"Indore, 56, Madhya Pradesh, New Dewas Road, Indore","56, NULL, INDORE, मध्य प्रदेश",0.0667,0.1957,0.1312,0.8688,hard_positive,,,,
S1-72557717,S3-231031760,S3,Arihant Good Hospitality Private Limited,অরিহন্ত গুড হসপিটালিটি প্রাইভেট লিমিটেড,"24, Hemanta Basu Sarani Mangalam Building -A, Ground Floor, Roo, M No.- B-5, Kolkata, West Bengal, Kolkata, Howrah","N/A, WB, Kolkata, Howrah, G-24",0.1,0.165,0.1325,0.8675,hard_positive,,,,
S1-706001692,S3-186019374,S3,Golden Solutions LLP,గోల్డెన్ సొల్యూషన్స్ ఎల్‌ఎల్‌పీ,"6-3-200/A, Moparthy Towers, Prem Nagar Road Road No.1, Banjara Hills, Hyderabad, Telangana","Hyderabad, 29 6-3-200/A, TG",0.0769,0.1882,0.1326,0.8674,hard_positive,,,,
S1-618355022,,,Corner Pizza,,"263 Moreland Drive, Canfield, OH",,1.0,0.3667,0.6833,,hard_negative,S2-443940490,Corner Pizza,"47 SHERMAN AVE, SHELBY, OH",0.6833
S1-220540589,,,Dermatology Care,,"182 High Hill Road, Wallingford, CT",,1.0,0.2632,0.6316,,hard_negative,S2-217279135,Dermatology Care,"120  CHUCKWAGON DRIVE, null, LA VERNIA, TX",0.6316
S1-618355022,,,Corner Pizza,,"263 Moreland Drive, Canfield, OH",,1.0,0.2581,0.629,,hard_negative,S2-806898845,corner pizza,"499 GOODMAN STREET, ROCHESTER, NY",0.629
