source1_entity_id	candidate_entity_ids
S1-814475089	S3-362638952,S2-438182503,S3-112379453,S2-516249560,S2-492879191,S3-722381828,S3-51937572,S3-605495109,S3-811855637,S3-971943018,S3-303047307,S2-857681318,S3-121412624,S2-5405243,S2-904673479,S2-736654053,S2-625682061,S3-8222959,S2-402816908,S2-589492301
S1-451077707	S2-726045392,S3-619115665,S2-761989439,S3-211882578,S2-684635925,S3-780118815,S3-173449142,S3-210818742,S3-405553422,S2-187514897,S2-800014563,S3-730662073,S2-952329168,S3-786009122,S3-776815069,S3-447961633,S3-207262214,S3-479249803,S3-659206129,S2-379148212
S1-448166395	S2-457500956,S2-792661362,S2-103317508,S2-64137184,S3-903416633,S2-5405243,S3-80888417,S3-4573520,S2-589492301,S2-630651352,S2-56744275,S3-269888656,S3-161412777,S2-867614780,S2-673704658
S1-940115232	S2-892923793,S2-948280510,S3-465433588,S3-954711163,S2-348280942,S2-688657051
S1-472232440	
S1-800915873	S2-967974285
S1-21084577	S3-504183980,S2-705827573,S2-532353401,S3-701705967,S2-633236997,S3-889312836,S3-188810136,S3-988710395,S3-77329533,S3-112379453
S1-978421811	S3-8222959,S3-899583090,S3-761438523,S3-22467283,S2-713920891,S2-838526909,S3-504183980,S3-180062010,S2-322211984,S3-973629095,S2-623164214,S3-970685075,S3-289677596,S2-450266205,S2-622773844,S2-91704178,S3-568617496,S2-956608424,S2-912941112,S2-193995593
S1-19400879	S2-235039028,S2-153334775,S3-444450554,S2-162849450,S2-308442620
S1-332410345	S3-331944027,S2-308510117
S1-617455147	
S1-477458226	S3-678683280,S3-859268022,S2-375938862,S3-891626766,S2-321398182,S3-586800406,S2-281309190,S3-977086194,S2-243813488,S2-529867680,S3-664253519,S3-659206129,S2-761989439,S3-12915038
S1-173971969	S2-379148212,S3-753125827
S1-907635568	S3-109335189
S1-374959431	S3-783906913,S3-401540298,S2-647437327,S2-374185954,S2-715243543,S2-625831173,S2-553620620,S3-429776213
S1-596450212	S3-230314480
S1-464797359	S3-96036271,S2-563158163,S3-58442757
S1-804300777	S3-730662073,S3-232475819,S2-91305348,S2-948280510,S3-682142621,S3-295478667
S1-305440895	S2-528205184
S1-145606139	S3-96513872,S2-967974285
S1-368348061	S3-561696284
S1-46716098	
S1-557464657	
S1-8092452	S3-551271002,S3-859229358,S3-948392473,S3-447768533
S1-216511119	S2-281309190,S3-308631150
S1-499302167	S3-211882578,S2-709626608,S3-439655728,S3-783004558,S3-463723999,S3-92974238,S2-9962270,S2-277444929,S2-778736994,S2-528320338,S2-970843942,S3-518679355,S3-709021698,S3-952693237
S1-56985694	S3-308631150,S2-281309190
S1-417526535	S2-248782105,S2-39617527,S3-192817070,S2-269084113
S1-382435344	S2-956811797,S3-510778048,S2-518011514,S3-380295664
S1-927651996	S2-449617627,S3-891618576,S3-426545498,S2-191007167,S2-895116270,S3-588120445
S1-613598143	
S1-6232617	S3-109335189
S1-491925427	S2-402816908
S1-378164861	S3-961916983,S3-561696284,S2-316755660
S1-622231151	S3-564535893,S2-622773844,S3-304243746,S3-8222959,S3-578159284
S1-639096068	S3-619115665,S2-379148212,S2-952329168,S2-684635925,S2-800014563,S3-173449142,S3-780118815,S3-479249803,S3-730662073,S3-211882578,S2-187514897,S3-776815069,S3-169505996,S3-659206129,S3-405553422,S3-797756565,S2-761989439,S3-207262214,S3-447961633,S2-990119436
S1-269039848	S2-867614780,S3-568617496,S3-718581280,S3-39022747
S1-408835967	S3-509442398,S2-797821871,S2-946002985,S2-190103142
S1-111673633	S3-891901989,S3-588120445,S3-725749046
S1-460845609	S2-173632166,S2-983439720,S3-761966080,S2-511376005,S2-648129048,S3-999637845
S1-17506850	S2-970843942,S3-211882578,S3-439655728,S2-709626608,S3-92974238,S2-9962270,S3-463723999,S2-726045392,S3-730662073,S3-797756565,S2-778736994,S2-761989439,S3-776815069,S3-479249803,S2-952329168,S3-753125827,S2-800014563,S3-53737228,S3-659206129,S3-210818742
S1-68201540	S2-679190243,S3-702183940,S3-896227623,S3-856590607,S2-773208378
S1-831843558	S2-568026492,S3-474790592,S3-578159284,S2-347017935,S3-551148968
S1-63266922	
S1-304785953	
S1-740254254	S2-690151442,S2-516249560,S3-161412777,S3-903416633,S3-80888417,S3-783906913,S2-716687956,S2-457500956,S2-461563520,S2-630651352,S3-533193854
S1-836203525	S3-465433588,S3-829490404,S3-60787735,S3-244849851,S2-826030024,S3-335805814,S3-325154278,S2-785139940,S3-126982322
S1-465739288	S3-282015823,S3-310758212,S2-623164214,S3-729932,S3-107644605
S1-111065528	
S1-545601093	
S1-988516196	S3-510778048
S1-612217752	S2-149356677,S2-35158435,S2-721031885
S1-846542666	S2-39617527
S1-419483044	S3-905910189
S1-787617931	S3-771692836,S3-44013376,S2-153334775,S2-49942811
S1-535605149	S3-302901311,S3-123694229
S1-848219519	
S1-899782554	S3-160217003,S3-97933587,S2-28111444
S1-498738124	S2-516249560,S2-612169234,S2-73037424,S3-378551672,S2-235039028,S2-103317508,S2-792661362,S3-80888417,S2-64137184,S3-903416633,S2-457500956,S3-4573520,S2-5405243,S3-161412777,S2-630651352,S2-56744275,S2-867614780,S3-269888656,S2-589492301,S2-673704658
S1-748364403	
S1-622557613	S2-202057528,S3-918357967,S2-625988543
S1-155027115	S2-298914373,S2-769858942,S3-136675280,S3-35900036,S3-509442398,S2-605633090,S2-49714549,S3-610402578,S3-833884099
S1-417074218	S2-281309190,S3-659206129,S2-321398182,S3-12915038,S3-859268022,S3-891626766,S3-678683280,S3-977086194,S3-586800406,S2-243813488,S2-773208378,S2-375938862,S3-664253519,S2-529867680,S2-761989439
S1-63975497	S3-39022747,S3-568617496,S2-867614780
S1-122492157	
S1-483281264	S2-69394310
S1-140525226	S2-511376005,S3-791460119,S2-867614780,S2-477675434
S1-616755144	S2-953098128
S1-527727380	S3-509442398,S3-136675280,S3-833884099,S2-49714549,S3-426545498,S3-610402578,S2-298914373,S3-375023535,S3-35900036,S2-605633090
S1-387694500	S3-393744173,S3-896227623,S3-829490404,S2-750426664
S1-664267481	S3-105959407
S1-798970125	
S1-840279529	S3-136499130,S3-323153716,S2-123409799,S3-109335189
S1-624514617	S2-679333576,S3-315861895,S2-623817123,S2-537858187,S3-397757727
S1-557783855	S3-331944027,S3-954711163
S1-187558029	S2-868087865,S2-88437832,S3-81161554,S3-90100170,S2-153334775
S1-737635669	S3-608740521,S2-634015823,S3-565165190,S2-986801518,S3-417218868,S3-83266577
S1-499566732	S3-566328140,S2-971491700
S1-669754446	S2-784592218,S2-826030024
S1-356319224	S2-673704658,S2-792661362,S2-103317508,S3-4573520,S2-867614780,S2-5405243,S2-630651352,S2-457500956,S2-64137184,S2-56744275,S3-80888417,S3-269888656,S3-161412777,S3-903416633,S2-589492301
S1-176550551	S2-669879950
S1-551688195	S2-684635925,S3-619115665,S3-173449142,S3-780118815
S1-698189395	S3-325154278,S3-335805814,S3-126982322,S3-60787735,S3-465433588,S3-244849851,S3-829490404,S2-826030024,S2-785139940
S1-116737194	S3-160217003,S3-533193854
S1-136894582	S2-869995817,S2-407011785,S3-722381828,S2-784715242
S1-342754370	S3-783004558,S2-528320338,S2-277444929,S3-518679355,S3-709021698,S3-53737228,S3-952693237,S3-786009122,S2-948280510
S1-567349457	S2-715243543
S1-468339122	S2-374185954,S3-692514298
S1-615455408	S2-54307441,S2-736654053,S3-421946310,S2-290146361,S3-6605683
S1-971115873	S2-568026492,S2-983439720,S3-578159284,S3-999637845
S1-260530670	S2-667620668,S2-142962200,S3-506388347
S1-848777360	S3-32634960,S3-797756565,S3-128062172,S2-508602797,S2-102286733,S2-187514897,S2-529867680,S3-776815069,S3-45067784,S2-784592218,S3-447961633,S3-207262214,S2-800014563,S3-659206129,S2-726045392,S3-730662073,S2-761989439,S2-952329168,S2-379148212,S3-479249803
S1-705961596	
S1-685073108	S2-918763928,S2-78644395,S3-564535893
S1-974991176	S2-492879191,S2-625682061,S3-15177093
S1-297525707	S2-243813488,S3-891626766,S3-977086194,S2-321398182,S3-678683280,S3-859268022,S3-426545498,S2-761989439,S3-586800406,S2-375938862,S3-664253519,S3-375023535,S2-529867680,S3-12915038,S2-281309190,S3-659206129
S1-764937251	S3-371292760
S1-915022305	S3-190231775
S1-16609748	S3-783906913,S3-401540298,S2-193995593,S3-775274701,S2-792661362,S3-58442757
S1-281051556	S3-762825829
S1-231271132	S2-70709851
S1-536948776	
S1-241686597	S2-477675434,S2-479278257
S1-684505968	
S1-835425265	S3-722381828,S2-1722538,S2-784715242,S2-785852339,S2-161047745
S1-580966525	S2-102286733
S1-945468839	S2-541414076,S3-890922145,S2-469073813,S2-784592218,S2-528320338
S1-386654734	S3-588120445,S3-275360323,S3-306170136,S2-469073813,S2-539779970,S3-878820114,S2-109121051,S3-263247365,S3-803003378,S2-64301738,S3-284546096,S2-6795460
S1-579617619	S2-736654053,S3-181819854,S3-532479968,S2-193995593,S3-180062010,S3-899583090,S3-331103166,S2-56744275,S3-22467283,S2-912941112,S2-713920891,S2-91704178,S3-210476563,S2-450266205,S2-956608424,S2-622773844,S3-973629095,S3-568617496,S3-8222959,S3-390090152
S1-896836973	
S1-881770296	S2-457500956,S2-716687956,S3-161412777,S2-736654053,S3-80888417,S2-516249560,S3-903416633,S2-5405243,S2-537858187,S2-626445420,S3-630633029,S3-46986783
S1-504059078	S2-912941112
S1-828917180	
S1-973233920	S2-836840386,S2-88437832,S2-129228958,S2-539420714
S1-451892808	
S1-919867800	S2-763108962,S2-970843942
S1-769172378	S2-298914373,S3-509442398,S3-610402578,S3-136675280,S3-836927959,S3-833884099,S2-577969603,S3-35900036,S2-49714549,S2-605633090
S1-223621109	S3-891901989,S3-275360323,S2-554610011
S1-983652708	S2-785852339,S3-269888656,S3-474790592,S2-755671955,S3-97933587,S3-551148968,S2-347017935,S3-181819854
S1-904479856	S2-440137459,S3-879599711,S3-171901473,S2-623817123,S3-105263451,S3-660160649,S2-751730544,S3-113462535
S1-783021266	S2-750426664,S2-892923793,S3-968476116,S3-797289734,S3-829490404
S1-259452306	S3-748452890,S2-439384858,S2-193995593,S3-712441242
S1-926958422	S2-797821871,S3-335805814,S3-367524706
S1-19593330	
S1-929809097	
S1-253986331	S2-686350780,S3-257771188,S2-257885603,S2-619844913,S3-412197948,S3-911307067
S1-336167025	
S1-761585587	S2-430367614,S3-561696284,S3-121412624
S1-576153543	S3-375023535,S3-190596250,S3-401809170,S3-74613320,S2-628335210
S1-948336320	S3-660160649
S1-109460220	
S1-699955992	
S1-881535873	S2-679190243,S3-896227623,S3-856590607
S1-420936510	S2-297926319,S3-244849851,S3-709021698,S2-773208378
S1-928237806	
S1-602775749	S3-299576808,S3-181819854,S3-75056814,S3-269888656,S2-811863966,S3-161412777,S2-402816014,S3-585479914,S2-537858187,S3-637595241,S3-761438523,S3-288750155,S2-56744275,S3-572598570,S2-792661362,S2-867614780,S2-64137184,S2-673704658,S2-103317508,S2-5405243
S1-166601186	S2-516249560,S3-80888417,S3-378551672,S3-903416633,S2-716687956,S2-73037424,S3-161412777,S2-457500956,S2-235039028,S2-612169234
S1-139532667	S3-375023535,S3-190596250,S3-401809170,S2-628335210,S3-74613320
S1-391248994	S3-859268022,S3-891626766,S3-678683280,S2-375938862,S2-243813488,S3-977086194,S2-529867680,S2-321398182,S3-664253519,S3-586800406,S2-281309190,S2-761989439,S3-659206129,S3-12915038
S1-217259238	S3-102566645,S2-582984116,S3-118652570
S1-363414052	
S1-719919136	S3-977086194,S2-761989439,S3-891626766,S3-12915038,S2-321398182,S3-859268022,S3-678683280,S3-586800406,S3-664253519,S2-243813488,S2-529867680,S2-375938862,S3-659206129,S2-281309190
S1-75134768	S2-605633090,S3-35900036,S2-298914373,S3-509442398,S3-610402578,S2-49714549,S3-136675280,S3-833884099
S1-174758675	S2-824414038
S1-124712855	
S1-305403960	S2-946002985,S2-190103142
S1-615738219	S2-709626608,S2-349287094,S3-572363539,S2-223038034,S2-552487507,S3-507578619,S2-728928259,S3-725749046
S1-925443249	S2-701477103,S2-971339247
S1-635349757	S2-475524221,S3-891585470,S2-735517191,S2-563158163,S3-605495109,S3-326049086
S1-300609714	S2-235039028,S2-153334775,S3-444450554,S2-162849450,S2-308442620
S1-743936349	S2-526991413,S3-125572762
S1-94297591	
S1-817802155	S2-526991413,S3-105263451
S1-369711048	S3-980949237,S3-199665712
S1-501296085	
S1-967153211	S2-918763928,S3-564535893,S2-78644395
S1-300031623	S3-469798068
S1-98579303	S2-605633090,S2-952329168,S2-800014563,S3-509442398,S3-833884099,S2-49714549,S3-136675280,S3-730662073,S2-187514897,S2-379148212,S3-776815069,S3-35900036,S3-211882578,S3-610402578,S3-207262214,S3-659206129,S2-761989439,S3-797756565,S3-479249803,S3-447961633
S1-576857452	S3-331944027
S1-121839562	S2-946872072,S3-474790592,S3-401540298,S2-333785505
S1-79772943	S2-235039028,S2-516249560,S2-73037424,S3-378551672,S2-989100620,S2-612169234,S2-153334775
S1-694085192	S2-811863966,S2-73037424,S3-299576808,S3-75056814,S2-516249560,S2-402816014,S3-161412777,S3-378551672,S3-7812561,S3-269888656,S2-612169234,S2-235039028,S3-181819854,S3-988710395,S3-288750155,S3-585479914,S3-572598570,S2-430367614,S3-326049086
S1-525055772	S3-879599711,S2-129228958,S2-88437832,S2-163963287,S2-539420714,S2-430379962,S3-999637845,S2-836840386
S1-376690332	S2-243813488,S3-954711163
S1-219548536	S2-332014708,S2-879392749
S1-410701476	
S1-862338675	S3-401540298,S3-783906913
S1-448345019	S2-281309190,S3-659206129,S2-243813488,S3-12915038,S3-284546096,S2-321398182,S3-586800406,S3-859268022,S3-891626766,S3-977086194,S3-678683280,S3-664253519,S2-375938862,S2-529867680,S2-761989439
S1-883829621	S3-969954990
S1-153055996	S3-299576808,S2-811863966,S3-161412777,S2-402816014,S3-879599711,S3-75056814,S3-269888656,S2-430379962,S2-163963287,S3-181819854,S3-288750155,S3-999637845,S3-585479914,S3-572598570
S1-252433119	S3-975758507,S2-161047745,S2-1722538,S3-240930945,S3-738588591,S2-175566180,S2-114121811
S1-324674388	S3-121412624,S2-985216261
S1-638466806	
S1-827102573	S3-97933587,S2-612169234,S3-811855637,S2-73037424,S3-378551672,S2-28111444,S3-50545424,S2-235039028,S3-160217003,S2-516249560
S1-989439466	S3-405782849
S1-3732976	S2-616836723,S2-769808418,S2-56744275,S2-479331549,S2-257885603
S1-31205819	S2-168770832,S2-684635925,S3-755888332,S3-463723999,S3-444600693
S1-895771779	S2-871017791
S1-29354465	S2-938612654,S3-326049086,S2-946872072,S3-474790592,S3-401540298
S1-772189406	
S1-872627167	S2-349287094,S2-223038034,S2-709626608,S3-572363539,S3-725749046,S3-507578619,S2-552487507,S2-728928259,S3-588120445
S1-173906255	
S1-566012078	S2-952329168,S3-776815069,S3-479249803,S3-797756565,S2-379148212,S2-761989439,S2-800014563,S3-659206129,S3-211882578,S2-187514897,S2-990119436,S3-210818742,S3-730662073,S3-753125827,S2-726045392,S3-447961633,S3-405553422,S3-53737228,S3-786009122,S3-207262214
S1-610266870	S2-224839523,S3-780880539,S2-769858942
S1-506810298	
S1-162806244	S2-450266205,S3-999637845
S1-50643392	
S1-395813861	S3-960981775,S3-659206129,S3-901865937,S3-987031930,S3-755888332,S2-44100844
S1-652331096	S3-12915038,S3-977086194,S3-479249803,S2-549881386,S3-460045321,S2-277444929,S2-435778329,S3-787353706,S3-862789788,S3-575968805,S3-954711163,S3-173449142,S3-931454338,S2-389587679
S1-436985273	S2-418551982,S2-26081285,S3-125572762,S2-777625208,S2-218208532,S2-333785505
S1-336308856	S3-575968805,S3-588120445,S2-423519674,S3-207262214,S2-243813488
S1-459696014	S2-549881386,S3-426545498,S3-891618576,S2-895116270,S2-449617627
S1-169008536	S3-891901989
S1-128347375	S3-726575561,S2-348280942,S3-886815845,S2-163588551,S3-588120445
S1-493363382	S3-397939007
S1-457935815	S2-857681318,S2-61330089,S3-411324695,S3-51937572,S3-303047307,S3-971943018,S2-589492301,S3-400079254,S2-53273621,S3-980152742
S1-924009686	S3-447961633,S3-211882578,S3-797756565,S3-479249803,S3-659206129,S3-431503485,S2-952329168,S2-990119436,S2-379148212,S3-210818742,S3-786009122,S3-572363539,S3-730662073,S3-776815069,S2-800014563,S2-187514897,S2-726045392,S2-761989439,S3-405553422,S3-53737228
S1-820394674	S2-9962270,S3-375023535,S3-190596250,S3-74613320,S3-401809170,S2-628335210,S3-211882578,S3-439655728,S2-778736994,S3-463723999,S3-92974238,S2-709626608,S2-970843942
S1-116247627	S2-40574852,S3-572598570,S3-299576808,S3-75056814,S2-811863966,S2-402816014,S3-269888656,S3-161412777,S3-692514298,S3-181819854,S3-288750155,S3-585479914,S2-374185954
S1-409451774	S3-405782849
S1-270844042	S3-230314480
S1-165891282	S3-211882578,S2-778736994,S2-9962270,S2-709626608,S3-439655728,S3-92974238,S3-463723999,S2-970843942
S1-49032225	S3-426545498,S3-891618576,S2-895116270,S3-755888332,S2-428899461,S2-449617627
S1-581797355	S3-585013024
S1-979042353	S2-349287094,S2-709626608,S3-572363539,S2-552487507,S3-507578619,S2-223038034,S2-728928259,S3-725749046
S1-284710338	S2-726045392,S3-405553422,S2-990119436,S3-776815069,S3-730662073,S3-566328140,S2-529867680,S3-797756565,S3-210818742,S3-211882578,S3-786009122,S3-659206129,S3-496785125,S2-34449822,S2-187514897,S3-859268022,S3-479249803,S3-207262214,S2-800014563,S2-895797947
S1-812886866	S3-447961633,S2-8982199,S2-789302288
S1-677741106	
S1-263481527	S3-803003378,S3-588120445,S3-306170136,S2-64301738,S2-469073813,S3-263247365,S2-109121051,S3-878820114,S3-284546096,S3-275360323,S2-539779970,S2-6795460,S3-572363539,S3-431503485
S1-447103941	S2-895116270
S1-177375169	S2-838526909,S3-899583090,S2-623164214,S3-761438523,S3-289677596,S3-421946310,S3-970685075
